adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,quarter,year
0001411342-20-000030,InterestIncomeExpenseNet,us-gaap/2019,20190930,1,USD,,,20031000.0,,q1,2020
0001564590-20-006769,IncreaseDecreaseInAccountsPayableAndAccruedLiabilitiesLeaseLiabilitiesAndOtherLiabilities,0001564590-20-006769,20191231,4,USD,,,122979000.0,,q1,2020
0000040533-20-000015,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2019,20181231,4,USD,BusinessSegments=CombatSystems;MajorCustomers=U.S.Commercial;,,251000000.0,,q1,2020
0001378789-20-000004,GainLossOnSaleOfPropertyPlantEquipment,us-gaap/2019,20181231,4,USD,ConsolidationItems=ConsolidationEliminations;DebtInstrument=AerCapTrustAICDCNotes;,,0.0,,q1,2020
0000100716-20-000021,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,us-gaap/2018,20191231,4,USD,,,-3249890.0,,q1,2020
0001564590-20-008141,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,us-gaap/2019,20171231,4,USD,,,2511000.0,,q1,2020
0001628280-20-002113,CostOfGoodsAndServicesSold,us-gaap/2019,20181231,4,USD,DerivativeInstrumentRisk=ForeignExchangeContract;EquityComponents=AccumulatedNetGainLossFromCashFlowHedgesIncludingPortionAttributableToNoncontrollingInterest;ReclassificationOutOfAccumulatedOtherComprehensiveIncome=ReclassificationOutOfAccumulatedOtherComprehensiveIncome;,,0.0,,q1,2020
0001558370-20-002676,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2019,20180630,1,USD,ProductOrService=ServiceOther;,,3174000.0,,q1,2020
0001163302-20-000012,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2019,20181231,4,USD,BusinessSegments=TubularProducts;ProductOrService=SemifinishedProducts;,,0.0,,q1,2020
0001558370-20-003455,DerivativeGainLossOnDerivativeNet,us-gaap/2019,20171231,4,USD,DerivativeInstrumentRisk=InterestRateCap;EquityComponents=Parent;,,224000.0,,q1,2020
0001677703-20-000010,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,us-gaap/2019,20181231,4,USD,,,-56000000.0,,q1,2020
0001663577-20-000068,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,us-gaap/2020,20190131,2,USD,,,-290235.0,,q1,2020
0001104659-20-012517,IncreaseDecreaseInAccountsPayable,us-gaap/2018,20181231,1,USD,,,-490072.0,,q1,2020
0001610114-20-000005,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,us-gaap/2019,20181231,1,USD,,,-0.05,,q1,2020
0001683825-20-000008,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,us-gaap/2019,20191231,4,EUR,,,94000.0,,q1,2020
0000947484-20-000012,IncomeLossFromEquityMethodInvestments,us-gaap/2019,20191231,4,USD,ConsolidatedEntities=Subsidiaries;ConsolidationItems=ReportableLegalEntities;,,122893000.0,,q1,2020
0001065696-20-000008,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,us-gaap/2019,20171231,4,USD,IncomeStatementBalanceSheetAndAdditionalDisclosuresByDisposalGroupsIncludingDiscontinuedOperations=PGW;,,-6746000.0,,q1,2020
0001558370-20-002390,InvestmentOwnedUnrealizedGainLossOnOpenContractsNet,0001558370-20-002390,20181231,0,USD,ClassOfStock=CapitalUnitClassA;Investments=OpenShortContracts;InvestmentSecondaryCategorization=USFuturesPositions;InvestmentType=FuturesContracts;,,19067.0,,q1,2020
0000944075-20-000012,DeferredRevenueCurrent,us-gaap/2019,20181231,0,USD,,,396974.0,,q1,2020
0000720858-20-000009,IncomeTaxExpenseBenefit,us-gaap/2019,20191231,4,USD,EquityComponents=AccumulatedNetUnrealizedInvestmentGainLoss;ReclassificationOutOfAccumulatedOtherComprehensiveIncome=ReclassificationOutOfAccumulatedOtherComprehensiveIncome;,,0.0,,q1,2020
0000763563-20-000052,NetIncomeLoss,us-gaap/2018,20171231,4,USD,EquityComponents=AccumulatedNetUnrealizedInvestmentGainLoss;ReclassificationOutOfAccumulatedOtherComprehensiveIncome=ReclassificationOutOfAccumulatedOtherComprehensiveIncome;,,-68000.0,,q1,2020
0001193125-20-054469,OtherReceivablesNetCurrent,us-gaap/2019,20181231,0,USD,LegalEntity=DominionEnergyTransmissionInc;ScheduleOfEquityMethodInvestmentEquityMethodInvesteeName=AtlanticCoastPipelineLLC;,,13000000.0,,q1,2020
0001579877-20-000038,Assets,us-gaap/2019,20171231,0,USD,BusinessSegments=AllOtherSegments;ConsolidationItems=OperatingSegments;,,263800000.0,,q1,2020
0000912562-20-000007,Goodwill,us-gaap/2019,20191231,0,USD,ProductOrService=RenewableEnergyandConservation;,,77602000.0,,q1,2020
0001654954-20-002656,AvailableForSaleSecurities,us-gaap/2019,20181231,0,USD,InformationByCategoryOfDebtSecurity=OtherInvestments;,,8055074.0,,q1,2020
0000827052-20-000026,MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,us-gaap/2019,20171231,4,USD,EquityComponents=NoncontrollingInterestPreferredandPreferenceStock;,,124000000.0,,q1,2020
0001564590-20-010636,ContractWithCustomerLiabilityNoncurrent,us-gaap/2019,20181231,0,USD,,,1060000.0,,q1,2020
0001031203-20-000006,FloorPlanInterestExpense,0001031203-20-000006,20181231,4,USD,BusinessSegments=UnitedStatesSegment;,,52800000.0,,q1,2020
0001273511-20-000040,AmountOfCommonSharesIssuedForLicenses,0001273511-20-000040,20181130,4,CAD,ComponentsOfEquity=OtherReserves;,,,,q1,2020
0001628280-20-001017,Revenue,ifrs/2019,20171231,4,DKK,GeographicalAreas=JAPANANDKOREA;ProductsAndServices=TotalDiabetesCare;Segments=DiabetesAndObesityCare;,,3708000000.0,,q1,2020
0001039684-20-000012,NetCashProvidedByUsedInFinancingActivities,us-gaap/2019,20171231,4,USD,ConsolidatedEntities=GuarantorSubsidiaries;ConsolidationItems=ReportableLegalEntities;,,8800000.0,,q1,2020
0001558370-20-001041,OtherLiabilitiesCurrent,us-gaap/2019,20181231,0,USD,ConsolidatedEntities=GuarantorSubsidiaries;ConsolidationItems=ReportableLegalEntities;,,135000000.0,,q1,2020
0001628280-20-004390,RoyaltyExpense,ifrs/2019,20181231,4,USD,SegmentConsolidationItems=OperatingSegments;Segments=NorthernTerritorySegment;,,0.0,,q1,2020
0001213900-20-006807,TradeAndOtherCurrentReceivables,ifrs/2019,20171231,0,USD,CategoriesOfFinancialAssets=LoansAndReceivablesCategory;RetrospectiveApplicationAndRetrospectiveRestatement=ClassificationIAS39;,,-1214050000.0,,q1,2020
0001005201-20-000021,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,us-gaap/2018,20171231,4,USD,,,0.0,,q1,2020
0001128361-20-000007,ProvisionForLoanLossesExpensed,us-gaap/2019,20171231,4,USD,,,17360000.0,,q1,2020
0001104659-20-003043,PreferredStockSharesIssued,us-gaap/2019,20180930,0,shares,,,0.0,,q1,2020
0000356309-20-000033,ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,us-gaap/2019,20181231,1,USD,,,619000.0,,q1,2020
0000102729-20-000004,PaymentsOfDividendsCommonStock,us-gaap/2019,20191231,4,USD,,,32642000.0,,q1,2020
0001040971-20-000006,PartnersCapitalAccountRedemptions,us-gaap/2019,20181231,4,USD,,,16303000.0,,q1,2020
0000944075-20-000012,OtherAssetsNoncurrent,us-gaap/2019,20191231,0,USD,,,202611.0,,q1,2020
0000945764-20-000009,OtherReceivables,us-gaap/2019,20181231,0,USD,,,125788000.0,,q1,2020
0000832101-20-000007,OtherComprehensiveIncomeLossNetOfTax,us-gaap/2019,20171231,4,USD,,,112146000.0,,q1,2020
0001166691-20-000008,OperatingIncomeLoss,us-gaap/2019,20190930,1,USD,,,5340000000.0,,q1,2020
0001039828-20-000013,NetInvestmentIncome,us-gaap/2019,20180331,1,USD,,,510784000.0,,q1,2020
0001437749-20-002116,LongTermDebtCurrent,us-gaap/2019,20190331,0,USD,,,2125000.0,,q1,2020
0001554795-20-000033,LaborAndRelatedExpense,us-gaap/2019,20181231,3,USD,,,130000.0,,q1,2020
0000936468-20-000016,NetIncomeLoss,us-gaap/2019,20180930,1,USD,,,1473000000.0,,q1,2020
0001437749-20-005145,InterestIncomeExpenseNonoperatingNet,us-gaap/2019,20171231,4,USD,,,-4285000.0,,q1,2020
0001654954-20-001316,InterestExpense,us-gaap/2019,20181231,1,USD,,,141788.0,,q1,2020
0000829224-20-000012,LiabilitiesCurrent,us-gaap/2019,20190930,0,USD,,,6168700000.0,,q1,2020
0001016178-20-000007,LoansAndLeasesReceivableAllowance,us-gaap/2019,20190930,0,USD,,,4625000.0,,q1,2020
